Id,ElapsedTime
OAS1_0284_MR1_mpr_n4_anon_sbj_111,10.962
OAS1_0285_MR1_mpr_n4_anon_sbj_111,11.549
OAS1_0285_MR2_mpr_n4_anon_sbj_111,16.579
OAS1_0286_MR1_mpr_n4_anon_sbj_111,12.307
OAS1_0287_MR1_mpr_n4_anon_sbj_111,11.359
OAS1_0288_MR1_mpr_n4_anon_sbj_111,15.336
OAS1_0289_MR1_mpr_n4_anon_sbj_111,10.416
OAS1_0290_MR1_mpr_n4_anon_sbj_111,11.701
OAS1_0291_MR1_mpr_n4_anon_sbj_111,15.360
OAS1_0292_MR1_mpr_n4_anon_sbj_111,9.344
OAS1_0293_MR1_mpr_n4_anon_sbj_111,11.443
OAS1_0294_MR1_mpr_n3_anon_sbj_111,13.744
OAS1_0031_MR1_mpr_n4_anon_sbj_111,19.553
OAS1_0295_MR1_mpr_n3_anon_sbj_111,11.498
OAS1_0296_MR1_mpr_n4_anon_sbj_111,11.307
OAS1_0298_MR1_mpr_n4_anon_sbj_111,11.813
OAS1_0299_MR1_mpr_n4_anon_sbj_111,11.101
OAS1_0300_MR1_mpr_n4_anon_sbj_111,10.649
OAS1_0301_MR1_mpr_n4_anon_sbj_111,10.532
OAS1_0302_MR1_mpr_n4_anon_sbj_111,12.021
OAS1_0303_MR1_mpr_n4_anon_sbj_111,10.493
OAS1_0304_MR1_mpr_n4_anon_sbj_111,14.104
OAS1_0305_MR1_mpr_n4_anon_sbj_111,10.974
OAS1_0032_MR1_mpr_n4_anon_sbj_111,11.510
OAS1_0307_MR1_mpr_n4_anon_sbj_111,10.840
OAS1_0308_MR1_mpr_n4_anon_sbj_111,12.694
OAS1_0309_MR1_mpr_n4_anon_sbj_111,9.951
OAS1_0310_MR1_mpr_n4_anon_sbj_111,11.606
OAS1_0311_MR1_mpr_n4_anon_sbj_111,11.081
OAS1_0312_MR1_mpr_n4_anon_sbj_111,13.890
OAS1_0313_MR1_mpr_n4_anon_sbj_111,12.014
OAS1_0314_MR1_mpr_n4_anon_sbj_111,12.376
OAS1_0315_MR1_mpr_n4_anon_sbj_111,12.433
OAS1_0316_MR1_mpr_n4_anon_sbj_111,10.515
OAS1_0033_MR1_mpr_n4_anon_sbj_111,11.248
OAS1_0004_MR1_mpr_n4_anon_sbj_111,13.335
OAS1_0317_MR1_mpr_n4_anon_sbj_111,13.902
OAS1_0318_MR1_mpr_n3_anon_sbj_111,14.869
OAS1_0319_MR1_mpr_n4_anon_sbj_111,11.585
OAS1_0321_MR1_mpr_n4_anon_sbj_111,12.678
OAS1_0322_MR1_mpr_n4_anon_sbj_111,11.636
OAS1_0323_MR1_mpr_n4_anon_sbj_111,10.642
OAS1_0325_MR1_mpr_n3_anon_sbj_111,15.510
OAS1_0326_MR1_mpr_n4_anon_sbj_111,12.147
OAS1_0327_MR1_mpr_n4_anon_sbj_111,13.823
OAS1_0328_MR1_mpr_n4_anon_sbj_111,15.219
OAS1_0034_MR1_mpr_n3_anon_sbj_111,10.667
OAS1_0329_MR1_mpr_n4_anon_sbj_111,13.647
OAS1_0330_MR1_mpr_n4_anon_sbj_111,13.169
OAS1_0331_MR1_mpr_n4_anon_sbj_111,10.939
OAS1_0332_MR1_mpr_n4_anon_sbj_111,16.017
OAS1_0333_MR1_mpr_n4_anon_sbj_111,11.846
OAS1_0335_MR1_mpr_n4_anon_sbj_111,17.307
OAS1_0336_MR1_mpr_n4_anon_sbj_111,13.328
OAS1_0337_MR1_mpr_n3_anon_sbj_111,12.998
OAS1_0338_MR1_mpr_n4_anon_sbj_111,13.584
OAS1_0339_MR1_mpr_n4_anon_sbj_111,12.601
OAS1_0035_MR1_mpr_n4_anon_sbj_111,11.138
OAS1_0340_MR1_mpr_n4_anon_sbj_111,13.118
OAS1_0341_MR1_mpr_n4_anon_sbj_111,13.392
OAS1_0342_MR1_mpr_n4_anon_sbj_111,14.820
OAS1_0343_MR1_mpr_n4_anon_sbj_111,14.454
OAS1_0344_MR1_mpr_n4_anon_sbj_111,12.445
OAS1_0345_MR1_mpr_n4_anon_sbj_111,7.492
OAS1_0346_MR1_mpr_n4_anon_sbj_111,16.271
OAS1_0348_MR1_mpr_n4_anon_sbj_111,8.567
OAS1_0349_MR1_mpr_n4_anon_sbj_111,13.383
OAS1_0350_MR1_mpr_n4_anon_sbj_111,13.528
OAS1_0037_MR1_mpr_n4_anon_sbj_111,10.829
OAS1_0351_MR1_mpr_n4_anon_sbj_111,18.815
OAS1_0352_MR1_mpr_n3_anon_sbj_111,16.501
OAS1_0353_MR1_mpr_n4_anon_sbj_111,13.692
OAS1_0353_MR2_mpr_n4_anon_sbj_111,13.550
OAS1_0354_MR1_mpr_n4_anon_sbj_111,17.279
OAS1_0355_MR1_mpr_n4_anon_sbj_111,10.923
OAS1_0356_MR1_mpr_n4_anon_sbj_111,15.549
OAS1_0357_MR1_mpr_n4_anon_sbj_111,11.278
OAS1_0358_MR1_mpr_n4_anon_sbj_111,13.816
OAS1_0359_MR1_mpr_n4_anon_sbj_111,14.742
OAS1_0038_MR1_mpr_n3_anon_sbj_111,13.243
OAS1_0361_MR1_mpr_n4_anon_sbj_111,12.579
OAS1_0362_MR1_mpr_n4_anon_sbj_111,14.980
OAS1_0363_MR1_mpr_n4_anon_sbj_111,13.011
OAS1_0365_MR1_mpr_n4_anon_sbj_111,14.399
OAS1_0366_MR1_mpr_n4_anon_sbj_111,13.301
OAS1_0367_MR1_mpr_n4_anon_sbj_111,7.819
OAS1_0368_MR1_mpr_n4_anon_sbj_111,13.962
OAS1_0368_MR2_mpr_n4_anon_sbj_111,15.547
OAS1_0369_MR1_mpr_n4_anon_sbj_111,15.899
OAS1_0370_MR1_mpr_n3_anon_sbj_111,18.265
OAS1_0039_MR1_mpr_n3_anon_sbj_111,15.232
OAS1_0371_MR1_mpr_n4_anon_sbj_111,8.232
OAS1_0372_MR1_mpr_n3_anon_sbj_111,16.075
OAS1_0373_MR1_mpr_n4_anon_sbj_111,13.200
OAS1_0374_MR1_mpr_n4_anon_sbj_111,9.925
OAS1_0375_MR1_mpr_n4_anon_sbj_111,12.213
OAS1_0376_MR1_mpr_n4_anon_sbj_111,11.219
OAS1_0377_MR1_mpr_n4_anon_sbj_111,16.730
OAS1_0378_MR1_mpr_n4_anon_sbj_111,15.525
OAS1_0379_MR1_mpr_n4_anon_sbj_111,13.854
OAS1_0379_MR2_mpr_n4_anon_sbj_111,13.572
OAS1_0040_MR1_mpr_n4_anon_sbj_111,11.288
OAS1_0380_MR1_mpr_n4_anon_sbj_111,13.402
OAS1_0381_MR1_mpr_n4_anon_sbj_111,14.522
OAS1_0382_MR1_mpr_n4_anon_sbj_111,14.996
OAS1_0383_MR1_mpr_n4_anon_sbj_111,11.191
OAS1_0384_MR1_mpr_n3_anon_sbj_111,15.217
OAS1_0385_MR1_mpr_n4_anon_sbj_111,18.181
OAS1_0386_MR1_mpr_n4_anon_sbj_111,16.356
OAS1_0387_MR1_mpr_n4_anon_sbj_111,13.803
OAS1_0388_MR1_mpr_n4_anon_sbj_111,15.830
OAS1_0389_MR1_mpr_n4_anon_sbj_111,11.082
OAS1_0041_MR1_mpr_n4_anon_sbj_111,11.312
OAS1_0390_MR1_mpr_n4_anon_sbj_111,17.517
OAS1_0392_MR1_mpr_n4_anon_sbj_111,18.301
OAS1_0394_MR1_mpr_n4_anon_sbj_111,14.267
OAS1_0395_MR1_mpr_n4_anon_sbj_111,15.752
OAS1_0395_MR2_mpr_n4_anon_sbj_111,13.201
OAS1_0396_MR1_mpr_n4_anon_sbj_111,15.532
OAS1_0397_MR1_mpr_n4_anon_sbj_111,15.470
OAS1_0398_MR1_mpr_n4_anon_sbj_111,14.192
OAS1_0399_MR1_mpr_n4_anon_sbj_111,19.591
OAS1_0400_MR1_mpr_n4_anon_sbj_111,17.117
